员工号名称,员工号UID,15秒首响率得分,30秒回复率得分,1分钟回复率得分,1小时超时回复率得分,平均回复时长得分,15秒首响率,30秒回复率,1分钟回复率,1小时超时回复率,平均回复时长,用户评价得分
一只可爱猪,5645f9e3a40e183ce5605896,3.9,0.8,0.9,2.5,0.0,33.33%,7.81%,7.81%,68.75%,175.16,0.0
小熊宝饼干,5c47d06a0000000011022bf6,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0,0.0
微领地青年社区,60692d700000000001009221,4.7,4.6,4.8,5.0,4.6,94.36%,94.5%,97.18%,0.84%,0.55,4.0
赵小喵,60b076d80000000001004a75,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0,0.0
羊羊崽,631f5388000000002303dede,3.3,1.9,3.1,4.9,0.0,0.0%,28.57%,28.57%,28.57%,186.18,0.0
可乐加冰块,63c21ff20000000026004097,3.5,2.1,2.5,4.0,0.0,5.71%,20.41%,23.47%,36.73%,55.73,4.0
哇呼耶,649323c40000000012037718,2.6,1.5,1.7,2.6,0.0,0.0%,6.9%,10.34%,86.21%,114.74,1.0
开心1点啦,653c9c7c000000000d00799d,4.6,1.8,2.2,4.0,0.0,97.22%,38.68%,44.34%,16.04%,28.17,0.0
mini的租房日记,65e5beee000000000500e34f,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,100.0%,100.9,0.0
Sahar,65f68528000000000b00e973,3.1,1.1,1.5,3.2,0.0,7.02%,25.74%,32.35%,30.88%,90.55,0.0
沃特曼乐🍉,6678ecbb00000000070044b5,0.0,0.1,0.1,0.1,0.0,0.0%,0.0%,0.0%,100.0%,0.0,0.0
半糖猛加冰,66909a9f000000000d02731b,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0,0.0
房东の猫跑了,66aae040000000001d021ca1,0.2,1.4,1.9,4.5,0.0,0.0%,22.22%,33.33%,33.33%,5.87,5.0
Miraitowa,66ab41c6000000001d0314ec,0.0,0.1,0.1,0.9,0.0,100.0%,0.0%,0.0%,83.33%,138.02,0.0
上海租房薛之谦,66bf1886000000001d031d56,4.1,0.8,1.2,3.6,0.0,14.81%,10.0%,12.0%,56.0%,142.91,4.0
Arrebol,66d16163000000000d026f2d,0.1,1.1,1.7,3.6,0.0,0.65%,11.95%,23.12%,24.94%,89.39,3.3
做个开心快乐的人,66fcc42e000000001d0224b0,0.2,0.8,0.9,1.9,0.0,7.69%,19.23%,19.23%,73.08%,199.04,4.0
上海公寓管家七七,66feb618000000001d032504,2.4,2.1,2.6,3.9,0.0,44.44%,0.0%,17.65%,29.41%,74.47,2.5
周周,671636d1000000001d030eb2,3.8,2.6,3.1,4.1,0.0,20.0%,52.83%,66.04%,13.21%,22.67,5.0
爱吃甜甜圈,6725d5e5000000001d02d18d,4.5,3.1,3.3,4.5,0.0,85.0%,55.56%,61.11%,2.78%,7.75,0.0
77沉住气,67373774000000001c01ace2,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0,0.0
上海公寓直租,67374bd1000000001d02e204,3.6,2.4,3.1,4.2,0.0,16.67%,48.84%,67.44%,16.28%,8.93,4.3
waiting,67528dd9000000001d02f077,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0,0.0
pu抬头🥔,67591322000000001c019b6d,4.0,2.5,3.1,4.3,0.0,17.65%,50.0%,56.52%,10.87%,55.06,0.0
冰糖水🍐,676555800000000014032409,3.4,1.6,2.2,4.3,0.0,15.0%,42.62%,63.93%,4.92%,4.09,3.0
苏乞儿｜,676a53770000000018015b4b,3.8,1.5,2.2,4.5,0.0,100.0%,9.09%,22.73%,0.0%,15.72,0.0
灵感菇哩菇,67863a0c000000000803f7c9,1.8,1.7,2.0,3.8,0.0,70.0%,38.6%,50.88%,3.51%,2.11,0.0
租房小张,679f566e000000000d00a472,0.3,0.2,0.3,0.5,0.0,14.29%,30.23%,51.16%,32.56%,47.39,0.0
青芒果果,67a0784d000000000e01df5b,1.9,2.2,2.6,3.8,0.0,8.43%,33.67%,43.97%,19.6%,42.31,4.3
茶茶常乐,67a9f180000000000601e89e,0.3,2.0,2.8,4.6,0.0,0.0%,40.74%,55.56%,7.41%,8.17,0.0
秋日眠,67c4448d000000000d00b62e,4.2,3.6,3.9,4.5,0.0,30.0%,63.33%,71.67%,15.0%,45.42,3.1
翻斗花园小美,67c586e80000000018027926,0.6,2.3,2.3,2.9,2.2,25.0%,79.31%,79.31%,0.0%,3.13,0.0
小兔不吐葡萄皮,67cd0e98000000000e0118a9,0.1,2.0,2.5,4.0,0.0,0.0%,0.0%,0.0%,75.0%,247.03,2.0
夏至,67d938de0000000006010ef1,0.3,2.1,3.2,4.6,2.3,12.5%,50.77%,76.92%,6.15%,1.97,0.0
